problem_id,domain,question,expected_answer,required_concept,constraint
MATH001,Algebra,Solve 3x + 5 = 20.,5,linear equation,
MATH002,Calculus,Compute d/dx of x^3 + 2x.,3x^2 + 2,derivative,
MATH003,Calculus,Evaluate integral_0^1 x^2 dx.,0.3333333333,integral,
MATH004,Linear Algebra,"Determinant of [[2,1],[3,4]].",5,determinant,
MATH005,Probability,Probability of exactly one head in two fair tosses.,0.5,binomial probability,
MATH006,Optimization,Minimizer of (x-4)^2 + 1.,4,first order condition,
MATH007,Algebra,Solve x^2 - 9 = 0; give roots comma-separated.,"-3,3",factorization,
MATH008,Calculus,Limit of sin(x)/x as x->0.,1,limit,
MATH009,Linear Algebra,"Trace of [[1,2],[3,5]].",6,trace,
MATH010,Probability,Expected value of a fair six-sided die.,3.5,expectation,
MATH011,Algebra,Solve 2^x = 8.,3,logarithm,
MATH012,Calculus,Derivative of ln(x).,1/x,derivative,
MATH013,Optimization,Minimum value of x^2+2x+5.,4,completing square,
MATH014,Linear Algebra,Rank of identity matrix I_3.,3,rank,
MATH015,Probability,Variance of Bernoulli(p) with p=0.2.,0.16,variance,
MATH016,Algebra,Sum of first 10 positive integers.,55,arithmetic series,
MATH017,Calculus,Integral of cos(x) dx.,sin(x)+C,antiderivative,
MATH018,Linear Algebra,"Eigenvalues of diag(2,5), comma-separated.","2,5",eigenvalue,
MATH019,Probability,P(A^c) if P(A)=0.37.,0.63,complement,
MATH020,Optimization,"For f(x)=x^2, gradient at x=3.",6,gradient,
MATH021,Algebra,Simplify (x^2-1)/(x-1) for x!=1.,x+1,factorization,x!=1
MATH022,Calculus,Second derivative of x^4.,12x^2,second derivative,
MATH023,Linear Algebra,"Dot product of (1,2,3) and (4,0,-1).",1,dot product,
MATH024,Probability,"Mean of Binomial(n=10,p=0.3).",3,binomial expectation,
MATH025,Optimization,Stationary point of f(x)=x^2-6x+8.,3,first order condition,
MATH026,Algebra,"If y=2x+1 and x=4, find y.",9,substitution,
MATH027,Calculus,Limit of (1-cos x)/x^2 as x->0.,0.5,limit,
MATH028,Linear Algebra,"Norm of vector (3,4).",5,euclidean norm,
MATH029,Probability,P(two heads) in two fair tosses.,0.25,independence,
MATH030,Optimization,Is f(x)=x^2 convex? Answer yes/no.,yes,second derivative,
